Test Case ID,Modul,Komponen / Kondisi Uji,Langkah-Langkah,Hasil yang Diharapkan,Jenis,Level,Stack,File Sumber,Job CI,Status
TC-AS-002,Autentikasi & Sesi,TestExtractPhones,"1. cd apps/ai-service && uv run pytest  2. Kasus: ""TestExtractPhones::test_phone_with_dashes_zero_prefix""",Phone with dashes zero prefix,TDD,Unit,Python,apps/ai-service/tests/test_cv_parser.py,test-python,Pass
TC-AS-003,Autentikasi & Sesi,TestParseCvText,"1. cd apps/ai-service && uv run pytest  2. Kasus: ""TestParseCvText::test_extracts_phone""",Extracts phone,TDD,Unit,Python,apps/ai-service/tests/test_cv_parser.py,test-python,Pass
TC-AS-004,Autentikasi & Sesi,User Authentication — Admin registration is blocked,"1. Given a registration payload with role ""admin""  2. When the registration schema is validated",validation should fail,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-005,Autentikasi & Sesi,User Authentication — Expired OTP is rejected,1. Given a user with an expired OTP code  2. When they verify the OTP,the OTP verification should be rejected,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-006,Autentikasi & Sesi,User Authentication — Invalid phone format rejected,"1. Given a registration payload with phone ""12345""  2. When the phone schema is validated",validation should fail,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-007,Autentikasi & Sesi,User Authentication — OTP code must be 6 digits,"1. Given an OTP code ""12345""  2. When the OTP schema is validated",validation should fail,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-008,Autentikasi & Sesi,User Authentication — OTP verification succeeds,1. Given a user with a valid OTP code  2. When they verify the OTP,the phone should be marked as verified,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-009,Autentikasi & Sesi,User Authentication — OTP with too many attempts is rejected,1. Given a user who exceeded OTP attempts  2. When they verify the OTP,the OTP verification should be rejected,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-010,Autentikasi & Sesi,User Authentication — Owner registration with valid data,"1. Given a valid owner registration payload  2. When the registration schema is validated  3. And the role should be ""owner""",validation should pass,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-011,Autentikasi & Sesi,User Authentication — Password change requires minimum length,"1. Given a new password ""short""  2. When the password is checked",it should be rejected for being too short,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-012,Autentikasi & Sesi,User Authentication — Talent registration with valid data,"1. Given a valid talent registration payload  2. When the registration schema is validated  3. And the role should be ""talent""",validation should pass,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-013,Autentikasi & Sesi,User Authentication — Valid Indonesian phone accepted,"1. Given a registration payload with phone ""+6281234567890""  2. When the phone schema is validated",validation should pass,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-014,Autentikasi & Sesi,User Authentication — Valid OTP code accepted,"1. Given an OTP code ""123456""  2. When the OTP schema is validated",validation should pass,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-015,Autentikasi & Sesi,SendOtp (Zenziva WhatsApp),"1. bun run test  2. File: apps/auth-service/src/lib/sms.test.ts  3. Kasus: ""Falls back to console in dev without keys""",Falls back to console in dev without keys,TDD,Unit,TypeScript,apps/auth-service/src/lib/sms.test.ts,test-unit,Pass
TC-AS-016,Autentikasi & Sesi,SendOtp (Zenziva WhatsApp),"1. bun run test  2. File: apps/auth-service/src/lib/sms.test.ts  3. Kasus: ""Handles network error""",Handles network error,TDD,Unit,TypeScript,apps/auth-service/src/lib/sms.test.ts,test-unit,Pass
TC-AS-017,Autentikasi & Sesi,SendOtp (Zenziva WhatsApp),"1. bun run test  2. File: apps/auth-service/src/lib/sms.test.ts  3. Kasus: ""Returns Zenziva error on status 0""",Returns Zenziva error on status 0,TDD,Unit,TypeScript,apps/auth-service/src/lib/sms.test.ts,test-unit,Pass
TC-AS-018,Autentikasi & Sesi,SendOtp (Zenziva WhatsApp),"1. bun run test  2. File: apps/auth-service/src/lib/sms.test.ts  3. Kasus: ""Sends via Zenziva WA when keys configured""",Sends via Zenziva WA when keys configured,TDD,Unit,TypeScript,apps/auth-service/src/lib/sms.test.ts,test-unit,Pass
TC-AS-019,Autentikasi & Sesi,SendOtp (Zenziva WhatsApp),"1. bun run test  2. File: apps/auth-service/src/lib/sms.test.ts  3. Kasus: ""Strips + prefix from phone""",Strips + prefix from phone,TDD,Unit,TypeScript,apps/auth-service/src/lib/sms.test.ts,test-unit,Pass
TC-AS-020,Autentikasi & Sesi,ClientIp,"1. bun run test  2. File: apps/auth-service/src/middleware/client-ip.test.ts  3. Kasus: ""Falls back to unknown when neither header is set""",Falls back to unknown when neither header is set,TDD,Unit,TypeScript,apps/auth-service/src/middleware/client-ip.test.ts,test-unit,Pass
TC-AS-021,Autentikasi & Sesi,ClientIp,"1. bun run test  2. File: apps/auth-service/src/middleware/client-ip.test.ts  3. Kasus: ""Gives one attacker one key however many hops they invent""",Gives one attacker one key however many hops they invent,TDD,Unit,TypeScript,apps/auth-service/src/middleware/client-ip.test.ts,test-unit,Pass
TC-AS-022,Autentikasi & Sesi,ClientIp,"1. bun run test  2. File: apps/auth-service/src/middleware/client-ip.test.ts  3. Kasus: ""Handles a single-element header""",Handles a single-element header,TDD,Unit,TypeScript,apps/auth-service/src/middleware/client-ip.test.ts,test-unit,Pass
TC-AS-023,Autentikasi & Sesi,ClientIp,"1. bun run test  2. File: apps/auth-service/src/middleware/client-ip.test.ts  3. Kasus: ""Ignores a client-supplied x-forwarded-for prefix""",Ignores a client-supplied x-forwarded-for prefix,TDD,Unit,TypeScript,apps/auth-service/src/middleware/client-ip.test.ts,test-unit,Pass
TC-AS-024,Autentikasi & Sesi,ClientIp,"1. bun run test  2. File: apps/auth-service/src/middleware/client-ip.test.ts  3. Kasus: ""Ignores whitespace-only values""",Ignores whitespace-only values,TDD,Unit,TypeScript,apps/auth-service/src/middleware/client-ip.test.ts,test-unit,Pass
TC-AS-025,Autentikasi & Sesi,ClientIp,"1. bun run test  2. File: apps/auth-service/src/middleware/client-ip.test.ts  3. Kasus: ""Prefers x-real-ip, which the proxy sets from the peer""","Prefers x-real-ip, which the proxy sets from the peer",TDD,Unit,TypeScript,apps/auth-service/src/middleware/client-ip.test.ts,test-unit,Pass
TC-AS-026,Autentikasi & Sesi,ClientIp,"1. bun run test  2. File: apps/auth-service/src/middleware/client-ip.test.ts  3. Kasus: ""Takes the last hop when only x-forwarded-for is present""",Takes the last hop when only x-forwarded-for is present,TDD,Unit,TypeScript,apps/auth-service/src/middleware/client-ip.test.ts,test-unit,Pass
TC-AS-027,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Does not leak internal error details to client""",Does not leak internal error details to client,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-028,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Handles AUTH_FORBIDDEN with 403""",Handles AUTH_FORBIDDEN with 403,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-029,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Handles AUTH_UNAUTHORIZED with 401""",Handles AUTH_UNAUTHORIZED with 401,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-030,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Handles AppError with correct status code and structure""",Handles AppError with correct status code and structure,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-031,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Handles AppError with details""",Handles AppError with details,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-032,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Handles CONFLICT with 409""",Handles CONFLICT with 409,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-033,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Handles NOT_FOUND with 404""",Handles NOT_FOUND with 404,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-034,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Handles RATE_LIMIT_EXCEEDED with 429""",Handles RATE_LIMIT_EXCEEDED with 429,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-035,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Handles TypeError as 500""",Handles TypeError as 500,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-036,Autentikasi & Sesi,Error handler middleware,"1. bun run test  2. File: apps/auth-service/src/middleware/error-handler.test.ts  3. Kasus: ""Handles unknown errors as 500 INTERNAL_ERROR""",Handles unknown errors as 500 INTERNAL_ERROR,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-037,Autentikasi & Sesi,Rate limiter,"1. bun run test  2. File: apps/auth-service/src/middleware/rate-limit.test.ts  3. Kasus: ""Allows requests under the limit""",Allows requests under the limit,TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-038,Autentikasi & Sesi,Rate limiter,"1. bun run test  2. File: apps/auth-service/src/middleware/rate-limit.test.ts  3. Kasus: ""Cannot be reset by rotating the claimed prefix""",Cannot be reset by rotating the claimed prefix,TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-039,Autentikasi & Sesi,Rate limiter,"1. bun run test  2. File: apps/auth-service/src/middleware/rate-limit.test.ts  3. Kasus: ""Decrements remaining count with each request""",Decrements remaining count with each request,TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-040,Autentikasi & Sesi,Rate limiter,"1. bun run test  2. File: apps/auth-service/src/middleware/rate-limit.test.ts  3. Kasus: ""Falls back to x-real-ip when x-forwarded-for not present""",Falls back to x-real-ip when x-forwarded-for not present,TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-041,Autentikasi & Sesi,Rate limiter,"1. bun run test  2. File: apps/auth-service/src/middleware/rate-limit.test.ts  3. Kasus: ""Keys on the last hop, which the proxy appended""","Keys on the last hop, which the proxy appended",TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-042,Autentikasi & Sesi,Rate limiter,"1. bun run test  2. File: apps/auth-service/src/middleware/rate-limit.test.ts  3. Kasus: ""Returns 429 when limit is exceeded""",Returns 429 when limit is exceeded,TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-043,Autentikasi & Sesi,Rate limiter,"1. bun run test  2. File: apps/auth-service/src/middleware/rate-limit.test.ts  3. Kasus: ""Sets Retry-After header on 429""",Sets Retry-After header on 429,TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-044,Autentikasi & Sesi,Rate limiter,"1. bun run test  2. File: apps/auth-service/src/middleware/rate-limit.test.ts  3. Kasus: ""Shows 0 remaining on 429""",Shows 0 remaining on 429,TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-045,Autentikasi & Sesi,Rate limiter,"1. bun run test  2. File: apps/auth-service/src/middleware/rate-limit.test.ts  3. Kasus: ""Uses x-forwarded-for header for IP detection""",Uses x-forwarded-for header for IP detection,TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-046,Autentikasi & Sesi,Auth routes > POST /sign-in/email-or-phone,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Detects phone number starting with +62""",Detects phone number starting with +62,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-047,Autentikasi & Sesi,Auth routes > POST /sign-in/email-or-phone,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects empty identifier""",Rejects empty identifier,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-048,Autentikasi & Sesi,Auth routes > POST /sign-in/email-or-phone,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Treats +1 prefix as email (non-Indonesian)""",Treats +1 prefix as email (non-Indonesian),ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-049,Autentikasi & Sesi,Auth routes > POST /sign-in/email-or-phone,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Treats non-+62 input as email""",Treats non-+62 input as email,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-050,Autentikasi & Sesi,Auth routes > POST /sign-up/email,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Accepts valid owner registration""",Accepts valid owner registration,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-051,Autentikasi & Sesi,Auth routes > POST /sign-up/email,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Accepts valid talent registration""",Accepts valid talent registration,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-052,Autentikasi & Sesi,Auth routes > POST /sign-up/email,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects admin role registration""",Rejects admin role registration,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-053,Autentikasi & Sesi,Auth routes > POST /sign-up/email,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects invalid phone format (not +62)""",Rejects invalid phone format (not +62),ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-054,Autentikasi & Sesi,Auth routes > POST /sign-up/email,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects invalid role (not owner or talent)""",Rejects invalid role (not owner or talent),ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-055,Autentikasi & Sesi,Auth routes > POST /sign-up/email,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects missing phone number""",Rejects missing phone number,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-056,Autentikasi & Sesi,Auth routes > POST /sign-up/email,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects phone with less than 9 digits after +62""",Rejects phone with less than 9 digits after +62,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-057,Autentikasi & Sesi,Auth routes > POST /sign-up/email,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects phone with more than 13 digits after +62""",Rejects phone with more than 13 digits after +62,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-058,Autentikasi & Sesi,IndonesianPhoneSchema,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Accepts valid +62 phone with 13 digits""",Accepts valid +62 phone with 13 digits,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-059,Autentikasi & Sesi,IndonesianPhoneSchema,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Accepts valid +62 phone with 9 digits""",Accepts valid +62 phone with 9 digits,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-060,Autentikasi & Sesi,IndonesianPhoneSchema,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects phone with letters""",Rejects phone with letters,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-061,Autentikasi & Sesi,IndonesianPhoneSchema,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects phone with too few digits""",Rejects phone with too few digits,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-062,Autentikasi & Sesi,IndonesianPhoneSchema,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects phone with too many digits""",Rejects phone with too many digits,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-063,Autentikasi & Sesi,IndonesianPhoneSchema,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Rejects phone without +62 prefix""",Rejects phone without +62 prefix,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-064,Autentikasi & Sesi,Me routes > PATCH /me,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Accepts empty update (all fields optional)""",Accepts empty update (all fields optional),ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-065,Autentikasi & Sesi,Me routes > PATCH /me,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Accepts locale update to en""",Accepts locale update to en,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-066,Autentikasi & Sesi,Me routes > PATCH /me,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Accepts locale update to id""",Accepts locale update to id,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-067,Autentikasi & Sesi,Me routes > PATCH /me,"1. bun run test  2. File: apps/auth-service/src/routes/auth.test.ts  3. Kasus: ""Accepts name update within bounds""",Accepts name update within bounds,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
