Test Case ID,Modul,Fitur / Skenario,Langkah-Langkah,Hasil yang Diharapkan,Jumlah Verifikasi,Jenis,Level,Stack,File Sumber,Job CI,Status
TC-AS-006,Autentikasi & Sesi,User Authentication — OTP code must be 6 digits,"1. Given an OTP code ""12345""  2. When the OTP schema is validated",validation should fail,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-007,Autentikasi & Sesi,User Authentication — OTP verification succeeds,1. Given a user with a valid OTP code  2. When they verify the OTP,the phone should be marked as verified,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-008,Autentikasi & Sesi,User Authentication — OTP with too many attempts is rejected,1. Given a user who exceeded OTP attempts  2. When they verify the OTP,the OTP verification should be rejected,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-009,Autentikasi & Sesi,User Authentication — Owner registration with valid data,"1. Given a valid owner registration payload  2. When the registration schema is validated  3. And the role should be ""owner""",validation should pass,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-010,Autentikasi & Sesi,User Authentication — Password change requires minimum length,"1. Given a new password ""short""  2. When the password is checked",it should be rejected for being too short,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-011,Autentikasi & Sesi,User Authentication — Talent registration with valid data,"1. Given a valid talent registration payload  2. When the registration schema is validated  3. And the role should be ""talent""",validation should pass,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-012,Autentikasi & Sesi,User Authentication — Valid Indonesian phone accepted,"1. Given a registration payload with phone ""+6281234567890""  2. When the phone schema is validated",validation should pass,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-013,Autentikasi & Sesi,User Authentication — Valid OTP code accepted,"1. Given an OTP code ""123456""  2. When the OTP schema is validated",validation should pass,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-014,Autentikasi & Sesi,Sms,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/lib/sms.test.ts  3. Eksekusi blok ""Sms"" (5 verifikasi)",1) Falls back to console in dev without keys; 2) Handles network error; 3) Returns Zenziva error on status 0; 4) Sends via Zenziva WA when keys configured; 5) Strips + prefix from phone,5,TDD,Unit,TypeScript,apps/auth-service/src/lib/sms.test.ts,test-unit,Pass
TC-AS-015,Autentikasi & Sesi,Client ip,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/middleware/client-ip.test.ts  3. Eksekusi blok ""Client ip"" (7 verifikasi)","1) Falls back to unknown when neither header is set; 2) Gives one attacker one key however many hops they invent; 3) Handles a single-element header; 4) Ignores a client-supplied x-forwarded-for prefix; 5) Ignores whitespace-only values; 6) Prefers x-real-ip, which the proxy sets from the peer; 7) Takes the last hop when only x-forwarded-for is present",7,TDD,Unit,TypeScript,apps/auth-service/src/middleware/client-ip.test.ts,test-unit,Pass
TC-AS-016,Autentikasi & Sesi,Error handler,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/middleware/error-handler.test.ts  3. Eksekusi blok ""Error handler"" (10 verifikasi)",1) Does not leak internal error details to client; 2) Handles AUTH_FORBIDDEN with 403; 3) Handles AUTH_UNAUTHORIZED with 401; 4) Handles AppError with correct status code and structure; 5) Handles AppError with details; 6) Handles CONFLICT with 409; 7) Handles NOT_FOUND with 404; 8) Handles RATE_LIMIT_EXCEEDED with 429; 9) Handles TypeError as 500; 10) Handles unknown errors as 500 INTERNAL_ERROR,10,TDD,Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,test-unit,Pass
TC-AS-017,Autentikasi & Sesi,Rate limit,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/middleware/rate-limit.test.ts  3. Eksekusi blok ""Rate limit"" (9 verifikasi)","1) Allows requests under the limit; 2) Cannot be reset by rotating the claimed prefix; 3) Decrements remaining count with each request; 4) Falls back to x-real-ip when x-forwarded-for not present; 5) Keys on the last hop, which the proxy appended; 6) Returns 429 when limit is exceeded; 7) Sets Retry-After header on 429; 8) Shows 0 remaining on 429; 9) Uses x-forwarded-for header for IP detection",9,TDD,Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,test-unit,Pass
TC-AS-018,Autentikasi & Sesi,Auth routes,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/routes/auth.test.ts  3. Eksekusi blok ""Auth routes"" (12 verifikasi)",1) Detects phone number starting with +62; 2) Rejects empty identifier; 3) Treats +1 prefix as email (non-Indonesian); 4) Treats non-+62 input as email; 5) Accepts valid owner registration; 6) Accepts valid talent registration; 7) Rejects admin role registration; 8) Rejects invalid phone format (not +62); 9) Rejects invalid role (not owner or talent); 10) Rejects missing phone number; 11) Rejects phone with less than 9 digits after +62; 12) Rejects phone with more than 13 digits after +62,12,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-019,Autentikasi & Sesi,Auth — IndonesianPhoneSchema,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/routes/auth.test.ts  3. Eksekusi blok ""IndonesianPhoneSchema"" (6 verifikasi)",1) Accepts valid +62 phone with 13 digits; 2) Accepts valid +62 phone with 9 digits; 3) Rejects phone with letters; 4) Rejects phone with too few digits; 5) Rejects phone with too many digits; 6) Rejects phone without +62 prefix,6,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-020,Autentikasi & Sesi,Auth — Me routes > PATCH /me,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/routes/auth.test.ts  3. Eksekusi blok ""Me routes > PATCH /me"" (10 verifikasi)",1) Accepts empty update (all fields optional); 2) Accepts locale update to en; 3) Accepts locale update to id; 4) Accepts name update within bounds; 5) Accepts valid phone update; 6) Does not reset phoneVerified when phone is not in payload; 7) Rejects invalid locale; 8) Rejects name shorter than 2 chars; 9) Resets phoneVerified when phone changes; 10) Validates phone format on update,10,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-021,Autentikasi & Sesi,Auth — Me routes > POST /me/change-password / RegisterUserSchema,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/routes/auth.test.ts  3. Eksekusi blok ""Me routes > POST /me/change-password / RegisterUserSchema"" (11 verifikasi)",1) Accepts valid password change input; 2) Rejects current password shorter than 8 chars; 3) Rejects if current password is wrong (simulated flow); 4) Rejects new password longer than 128 chars; 5) Rejects password shorter than 8 chars; 6) Accepts talent role; 7) Accepts valid registration input; 8) Rejects invalid email; 9) Rejects invalid role; 10) Rejects name shorter than 2 chars; 11) Rejects non-Indonesian phone,11,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-022,Autentikasi & Sesi,Auth — SendOtp / Session middleware logic / VerifyPhoneSchema,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/routes/auth.test.ts  3. Eksekusi blok ""SendOtp / Session middleware logic / VerifyPhoneSchema"" (11 verifikasi)",1) Fails in production without Zenziva keys; 2) Logs to console in development without Zenziva keys; 3) Sends OTP via Zenziva WhatsApp; 4) RequireRole accepts matching role; 5) RequireRole rejects non-matching role; 6) RequireRole rejects null user; 7) Accepts valid 6-digit OTP; 8) Rejects OTP with less than 6 digits; 9) Rejects OTP with more than 6 digits; 10) Rejects OTP with non-numeric characters; 11) Rejects OTP with spaces,11,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,test-unit,Pass
TC-AS-023,Autentikasi & Sesi,Health,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/routes/health.test.ts  3. Eksekusi blok ""Health"" (4 verifikasi)",1) Includes uptime in seconds; 2) Returns ok status with service name; 3) Returns 503 when database connection fails; 4) Returns ready when database is connected,4,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/health.test.ts,test-unit,Pass
TC-AS-024,Autentikasi & Sesi,Phone verification,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/routes/phone-verification.test.ts  3. Eksekusi blok ""Phone verification"" (6 verifikasi)","1) Charges an attempt when the code is wrong; 2) Does not mark the phone verified on a wrong code; 3) Gives the same response for a wrong code and no pending OTP; 4) Refuses once attempts are exhausted, without charging further; 5) Rejects when no OTP is outstanding; 6) Verifies on the correct code",6,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/phone-verification.test.ts,test-unit,Pass
TC-AS-025,Autentikasi & Sesi,Update user guard,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/routes/update-user-guard.test.ts  3. Eksekusi blok ""Update user guard"" (9 verifikasi)","1) Refuses a phone change; 2) Refuses a protected field smuggled beside an allowed one; 3) Refuses a self-promotion to admin; 4) Refuses any role change, not only admin; 5) Refuses phoneVerified and isVerified; 6) Rejects a malformed body instead of forwarding it; 7) Still allows an ordinary profile update; 8) Is not declared required to Better Auth; 9) Is nullable so OAuth sign-up can create a user",9,ATDD,Kontrak API,TypeScript,apps/auth-service/src/routes/update-user-guard.test.ts,test-unit,Pass
TC-AS-026,Autentikasi & Sesi,Acceptance — ATDD: Authentication Flow / ATDD: Phone Verification Flow,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/tests/acceptance.test.ts  3. Eksekusi blok ""ATDD: Authentication Flow / ATDD: Phone Verification Flow"" (8 verifikasi)","1) As a registered user, I can sign in with email and password; 2) As a user, I cannot sign in with empty password; 3) As a user, I cannot sign in with invalid email format; 4) As a user, I can verify my phone with a 6-digit OTP; 5) As a user, a 5-digit OTP is rejected; 6) As a user, a non-numeric OTP is rejected; 7) As a user, an expired OTP should not verify; 8) As a user, too many OTP attempts should block verification",8,ATDD,Unit,TypeScript,apps/auth-service/src/tests/acceptance.test.ts,test-unit,Pass
TC-AS-027,Autentikasi & Sesi,Acceptance — ATDD: User Registration Flow,"1. Jalankan `bun run test`  2. Buka apps/auth-service/src/tests/acceptance.test.ts  3. Eksekusi blok ""ATDD: User Registration Flow"" (6 verifikasi)","1) As a talent, I can register and get talent role; 2) As a user, I must provide a valid Indonesian phone number; 3) As a user, my email must be a valid format; 4) As a user, my password must be at least 8 characters; 5) As an owner, I can register with email and phone; 6) As anyone, I cannot register as admin",6,ATDD,Unit,TypeScript,apps/auth-service/src/tests/acceptance.test.ts,test-unit,Pass
TC-AS-028,Autentikasi & Sesi,Session cache,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/middleware/session-cache.test.ts  3. Eksekusi blok ""Session cache"" (8 verifikasi)",1) ClearSessionCache removes all entries; 2) Deletes expired entry on access (lazy cleanup); 3) Overwrites existing session for same key; 4) Returns null for expired entries; 5) Returns null for uncached key; 6) Returns valid entry before TTL expires; 7) Stores and retrieves a session; 8) Stores multiple sessions independently,8,TDD,Unit,TypeScript,apps/project-service/src/middleware/session-cache.test.ts,test-unit,Pass
TC-AS-029,Autentikasi & Sesi,Session,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/middleware/session.test.ts  3. Eksekusi blok ""Session"" (10 verifikasi)",1) Returns user when present in context; 2) Returns user with optional phone field; 3) Throws AUTH_UNAUTHORIZED when no user in context; 4) Throws AUTH_UNAUTHORIZED when user is undefined; 5) Calls auth service when not cached; 6) Returns 401 when auth service returns no user; 7) Returns 401 when auth service returns non-ok; 8) Returns 401 when no cookie header; 9) Returns 503 when auth service is unreachable; 10) Returns cached session when available,10,TDD,Unit,TypeScript,apps/project-service/src/middleware/session.test.ts,test-unit,Pass
TC-AS-030,Autentikasi & Sesi,Disintermediation.service,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/services/disintermediation.service.test.ts  3. Eksekusi blok ""Disintermediation.service"" (9 verifikasi)",1) Detects +62 prefixed Indonesian phone number; 2) Detects 0-prefixed Indonesian phone number; 3) Detects email and whatsapp link in same message; 4) Detects instagram handle; 5) Detects linkedin/github external social; 6) Detects telegram link; 7) Returns no matches for plain conversational message; 8) Returns false when no patterns match; 9) Returns true when any pattern matches,9,TDD,Unit Layanan,TypeScript,apps/project-service/src/services/disintermediation.service.test.ts,test-unit,Pass
TC-AS-031,Autentikasi & Sesi,Verify phone otp loop,"1. Jalankan `bun run test`  2. Buka apps/web/src/routes/verify-phone-otp-loop.test.ts  3. Eksekusi blok ""Verify phone otp loop"" (3 verifikasi)",1) Does not let the countdown reaching zero trigger a send; 2) Fires once on mount rather than whenever the callback changes; 3) Keeps an explicit resend,3,ATDD,Kontrak API,TypeScript,apps/web/src/routes/verify-phone-otp-loop.test.ts,test-unit,Pass
TC-AS-032,Autentikasi & Sesi,Schemas — RequestOtpSchema / VerifyPhoneSchema / SendChatMessageSchema,"1. Jalankan `bun run test`  2. Buka packages/shared/src/schemas.test.ts  3. Eksekusi blok ""RequestOtpSchema / VerifyPhoneSchema / SendChatMessageSchema"" (7 verifikasi)",1) Rejects invalid phone; 2) Validates phone; 3) Accepts 6-digit OTP; 4) Rejects non-numeric; 5) Rejects wrong length; 6) Validates chat message; 7) Rejects empty content,7,TDD,Unit,TypeScript,packages/shared/src/schemas.test.ts,test-unit,Pass
TC-CSA-001,Chat & Scoping AI,Test ai routes.py — TestCalculateCompleteness / TestChatEndpoint,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_ai_routes.py  3. Eksekusi blok ""TestCalculateCompleteness / TestChatEndpoint"" (11 verifikasi)",1) Partial coverage; 2) All checks pass; 3) Comprehensive messages; 4) Minimal user message; 5) No messages; 6) No user messages; 7) Score never exceeds 100; 8) Chat gateway error; 9) Successful chat; 10) Requires messages; 11) Requires project id,11,ATDD,Kontrak API,Python,apps/ai-service/tests/test_ai_routes.py,test-python,Pass
TC-CSA-002,Chat & Scoping AI,Test atdd acceptance.py,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_atdd_acceptance.py  3. Eksekusi blok ""Test atdd acceptance.py"" (12 verifikasi)",1) Chat validates input; 2) Brd generation refuses when the model is unreachable; 3) Brd generation with conversation; 4) Brd validates input; 5) Health returns service metadata; 6) Readiness probe; 7) Readiness probe fails without llm key; 8) Health check available; 9) Spec parse validates input; 10) Spec parse with valid input; 11) Cv parse validates input; 12) Cv parse with valid input,12,ATDD,Unit,Python,apps/ai-service/tests/test_atdd_acceptance.py,test-python,Pass
TC-CSA-003,Chat & Scoping AI,Test bdd endpoints.py,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_bdd_endpoints.py  3. Eksekusi blok ""Test bdd endpoints.py"" (3 verifikasi)",1) Chat requires project id; 2) Brd requires conversation; 3) Health endpoint,3,TDD,Unit,Python,apps/ai-service/tests/test_bdd_endpoints.py,test-python,Pass
TC-CSA-004,Chat & Scoping AI,Test llm.py — TestDeadlines / TestErrorsAndClient / TestGenerateJson,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_llm.py  3. Eksekusi blok ""TestDeadlines / TestErrorsAndClient / TestGenerateJson"" (12 verifikasi)",1) The chat deadline reaches the transport; 2) Document generation gets the longer deadline; 3) A hung call raises llm timeout; 4) A stalled stream reports a timeout; 5) A timeout is still an llm error; 6) A transport timeout is not reported as a generic error; 7) Client cached per key; 8) Missing key raises llm error; 9) Sdk failure wrapped; 10) Empty dict on unparseable; 11) Parses and reports usage; 12) Reads json from markdown fence,12,TDD,Unit,Python,apps/ai-service/tests/test_llm.py,test-python,Pass
TC-CSA-005,Chat & Scoping AI,Test rag.py,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_rag.py  3. Eksekusi blok ""Test rag.py"" (5 verifikasi)",1) No candidates returns empty; 2) Rrf ranks dual hits above single hits; 3) Top k cuts the tail; 4) Unsupported content field rejected; 5) Unsupported table rejected,5,TDD,Unit,Python,apps/ai-service/tests/test_rag.py,test-python,Pass
TC-CSA-006,Chat & Scoping AI,Test schemas.py,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_schemas.py  3. Eksekusi blok ""Test schemas.py"" (36 verifikasi)",1) Chat message assistant; 2) Chat message user; 3) Chat request custom model; 4) Chat request requires project id; 5) Chat request valid; 6) Chat response completeness score bounds; 7) Chat response completeness score ge zero; 8) Chat response completeness score le 100; 9) Chat response defaults; 10) Brd document all fields; 11) Brd document requires all fields; 12) Brd section; 13) Generate brd request minimal; 14) Generate brd request with budget; 15) Generate brd response; 16) Generate prd request defaults; 17) Generate prd response; 18) Prd document defaults; 19) Dependency spec defaults; 20) Health response defaults; 21) Parse spec data completeness bounds; 22) Parse spec data completeness ge zero; 23) Parse spec data completeness le 100; 24) Parse spec data defaults; 25) Parse spec response defaults; 26) Sprint plan; 27) Team composition defaults; 28) Work package spec defaults; 29) Matching request minimal; 30) Matching response; 31) Cv parse request requires fields; 32) Cv parse request valid; 33) Cv parse response; 34) Cv parsed data defaults; 35) Cv parsed data with skills; 36) Talent score,36,TDD,Unit,Python,apps/ai-service/tests/test_schemas.py,test-python,Pass
TC-CSA-007,Chat & Scoping AI,Project Lifecycle — Transition draft to scoping,"1. Given a project in ""draft"" status  2. When transitioned to ""scoping""",the transition should succeed,1,BDD,Skenario (BDD),TypeScript,apps/project-service/src/features/project-lifecycle.spec.ts,test-unit,Pass
TC-CSA-008,Chat & Scoping AI,Scoping context,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/scoping-context.test.ts  3. Eksekusi blok ""Scoping context"" (5 verifikasi)",1) Drops a key from missing as soon as the form answers it; 2) Names every gap a bare form leaves behind; 3) Reports no gaps once the form covers everything; 4) Scores the floor as the share of checks that passed; 5) Uses the vocabulary the AI scorer and the i18n labels share,5,TDD,Unit,TypeScript,apps/project-service/src/lib/scoping-context.test.ts,test-unit,Pass
TC-CSA-009,Chat & Scoping AI,State machine,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/state-machine.test.ts  3. Eksekusi blok ""State machine"" (48 verifikasi)",1) Finds START_SCOPING for draft to scoping; 2) Draft can transition to scoping; 3) Brd_approved has 3 exits; 4) Brd_purchased has no transitions; 5) Prd_purchased has no transitions; 6) Brd_approved can generate PRD; 7) Brd_approved can purchase BRD; 8) Brd_generated goes to brd_approved; 9) Prd_approved can purchase PRD; 10) Scoping goes to brd_generated; 11) Maps events to status values; 12) Draft has no events leading to it; 13) In_progress has multiple events; 14) Maps statuses to events; 15) Covers all 18 project statuses; 16) Finds CANCEL for draft to cancelled; 17) Finds COMPLETE for review to completed; 18) Finds RESUME for on_hold to in_progress; 19) Returns null for invalid transition; 20) Cancelled has no transitions; 21) Completed has no transitions; 22) Draft has 2 exits; 23) In_progress has 5 exits; 24) On_hold has 3 exits; 25) Draft can be cancelled; 26) Draft cannot go to completed; 27) Draft cannot skip to in_progress; 28) In_progress can be partially active; 29) In_progress can be put on hold; 30) In_progress can go to review; 31) Matched goes to in_progress; 32) On_hold can be cancelled; 33) On_hold can resume to in_progress; 34) Partially_active can go to review; 35) Partially_active can restore to in_progress; 36) Review goes to completed; 37) Team_forming goes to matched; 38) Matching can go directly to matched; 39) Matching can go to team_forming; 40) Prd_approved can start matching; 41) Finds RESOLVE_DISPUTE_CONTINUE for disputed to in_progress; 42) Disputed has 3 exits; 43) Disputed can resolve to cancelled; 44) Disputed can resolve to completed; 45) Disputed can resolve to in_progress; 46) In_progress can be disputed; 47) On_hold can be disputed; 48) Review can be disputed,48,TDD,Unit,TypeScript,apps/project-service/src/lib/state-machine.test.ts,test-unit,Pass
TC-CSA-010,Chat & Scoping AI,Storage,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/storage.test.ts  3. Eksekusi blok ""Storage"" (7 verifikasi)",1) Does not strip a bucket name that only appears deeper in the path; 2) Ignores a leftover query string; 3) Keeps nested prefixes intact; 4) Passes a bare key through; 5) Recovers the key from the internal endpoint; 6) Recovers the key from the public URL; 7) Strips a leading slash,7,TDD,Unit,TypeScript,apps/project-service/src/lib/storage.test.ts,test-unit,Pass
TC-CSA-011,Chat & Scoping AI,Subscription token — ParseChannel,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/subscription-token.test.ts  3. Eksekusi blok ""ParseChannel"" (6 verifikasi)",1) Reads chat:c-1; 2) Refuses an id containing the user separator; 3) Reads project:p-1; 4) Refuses a malformed channel; 5) Refuses a namespace it does not guard; 6) Reads milestone:p-1,6,TDD,Unit,TypeScript,apps/project-service/src/lib/subscription-token.test.ts,test-unit,Pass
TC-CSA-012,Chat & Scoping AI,Rate limit key,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/middleware/rate-limit-key.test.ts  3. Eksekusi blok ""Rate limit key"" (8 verifikasi)",1) Covers chat/stream; 2) Covers brd/revision; 3) Covers generate-brd; 4) Covers generate-prd; 5) Covers prd/revision; 6) Never trusts the leftmost forwarded-for entry; 7) Prefers the header a client cannot forge; 8) Leaves owner-talent chat on the general tier,8,TDD,Unit,TypeScript,apps/project-service/src/middleware/rate-limit-key.test.ts,test-unit,Pass
TC-CSA-013,Chat & Scoping AI,Chat atomicity,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/repositories/chat-atomicity.test.ts  3. Eksekusi blok ""Chat atomicity"" (7 verifikasi)",1) Always makes the creator a participant; 2) Does not pretend the creator gets a different role; 3) Inserts the participants in one statement; 4) Writes the conversation and its participants together; 5) Raises no warning without a sender; 6) Stores the message and its events together; 7) Publishes the bypass warning inside the same transaction,7,TDD,Integrasi Data,TypeScript,apps/project-service/src/repositories/chat-atomicity.test.ts,test-unit,Pass
TC-CSA-014,Chat & Scoping AI,Chat write access,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/routes/chat-write-access.test.ts  3. Eksekusi blok ""Chat write access"" (5 verifikasi)","1) Checks the caller belongs to the project; 2) Checks the sender is a participant, as the read route does; 3) Does not swallow the session error; 4) Does not take the sender type from the body for a session caller; 5) Scans every user message for bypass attempts",5,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/chat-write-access.test.ts,test-unit,Pass
TC-CSA-015,Chat & Scoping AI,Project.service — ProjectService > transitionStatus,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/services/project.service.test.ts  3. Eksekusi blok ""ProjectService > transitionStatus"" (9 verifikasi)",1) Allows draft -> scoping; 2) Allows scoping -> brd_generated; 3) Rejects transition from brd_purchased (final); 4) Allows draft -> cancelled; 5) Rejects invalid transitions (draft -> completed); 6) Rejects transition from cancelled state; 7) Rejects transition from completed state; 8) Throws PROJECT_NOT_FOUND for missing project; 9) Allows in_progress -> disputed,9,TDD,Unit Layanan,TypeScript,apps/project-service/src/services/project.service.test.ts,test-unit,Pass
