ID,Modul,Nama Kasus Uji,Tujuan Pengujian,Langkah-Langkah,Hasil yang Diharapkan,Jumlah Verifikasi,Jenis Pengujian,Level,Teknologi,File Sumber,Referensi Test,Job CI,Status
TC-AS-022,Autentikasi & Sesi,Auth — SendOtp / Session middleware logic / VerifyPhoneSchema,Validasi input registrasi dan login,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/routes/auth.test.ts. 3. Jalankan blok ""Auth — SendOtp / Session middleware logic / VerifyPhoneSchema"".","Password di bawah 8 karakter, nama di bawah 2 karakter, dan email tidak valid ditolak sebelum menyentuh database.",11,ATDD (kontrak API),Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,1) Fails in production without Zenziva keys; 2) Logs to console in development without Zenziva keys; 3) Sends OTP via Zenziva WhatsApp; 4) RequireRole accepts matching role; 5) RequireRole rejects non-matching role; 6) RequireRole rejects null user; 7) Accepts valid 6-digit OTP; 8) Rejects OTP with less than 6 digits; 9) Rejects OTP with more than 6 digits; 10) Rejects OTP with non-numeric characters; 11) Rejects OTP with spaces,test-unit,Lulus
TC-AS-023,Autentikasi & Sesi,Health,Endpoint health dan readiness,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/routes/health.test.ts. 3. Jalankan blok ""Health"".","Endpoint health menjawab saat service hidup, dan readiness gagal saat dependensi belum siap.",4,ATDD (kontrak API),Kontrak API,TypeScript,apps/auth-service/src/routes/health.test.ts,1) Includes uptime in seconds; 2) Returns ok status with service name; 3) Returns 503 when database connection fails; 4) Returns ready when database is connected,test-unit,Lulus
TC-AS-024,Autentikasi & Sesi,Phone verification,Verifikasi nomor telepon lewat kode OTP,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/routes/phone-verification.test.ts. 3. Jalankan blok ""Phone verification"".","Kode OTP kedaluwarsa setelah batas waktu, salah kode ditolak, dan jumlah percobaan dibatasi.",6,ATDD (kontrak API),Kontrak API,TypeScript,apps/auth-service/src/routes/phone-verification.test.ts,"1) Charges an attempt when the code is wrong; 2) Does not mark the phone verified on a wrong code; 3) Gives the same response for a wrong code and no pending OTP; 4) Refuses once attempts are exhausted, without charging further; 5) Rejects when no OTP is outstanding; 6) Verifies on the correct code",test-unit,Lulus
TC-AS-025,Autentikasi & Sesi,Update user guard,Pembatasan field profil yang boleh diubah sendiri,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/routes/update-user-guard.test.ts. 3. Jalankan blok ""Update user guard"".",User hanya bisa mengubah field profil miliknya. Role dan status verifikasi tidak bisa diubah lewat endpoint ini.,9,ATDD (kontrak API),Kontrak API,TypeScript,apps/auth-service/src/routes/update-user-guard.test.ts,"1) Refuses a phone change; 2) Refuses a protected field smuggled beside an allowed one; 3) Refuses a self-promotion to admin; 4) Refuses any role change, not only admin; 5) Refuses phoneVerified and isVerified; 6) Rejects a malformed body instead of forwarding it; 7) Still allows an ordinary profile update; 8) Is not declared required to Better Auth; 9) Is nullable so OAuth sign-up can create a user",test-unit,Lulus
TC-AS-026,Autentikasi & Sesi,Acceptance — ATDD: Authentication Flow / ATDD: Phone Verification Flow,Kriteria penerimaan alur utama,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/tests/acceptance.test.ts. 3. Jalankan blok ""Acceptance — ATDD: Authentication Flow / ATDD: Phone Verification Flow"".",Alur utama memenuhi kriteria penerimaan yang disepakati.,8,ATDD (kontrak API),Unit,TypeScript,apps/auth-service/src/tests/acceptance.test.ts,"1) As a registered user, I can sign in with email and password; 2) As a user, I cannot sign in with empty password; 3) As a user, I cannot sign in with invalid email format; 4) As a user, I can verify my phone with a 6-digit OTP; 5) As a user, a 5-digit OTP is rejected; 6) As a user, a non-numeric OTP is rejected; 7) As a user, an expired OTP should not verify; 8) As a user, too many OTP attempts should block verification",test-unit,Lulus
TC-AS-027,Autentikasi & Sesi,Acceptance — ATDD: User Registration Flow,Kriteria penerimaan alur utama,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/tests/acceptance.test.ts. 3. Jalankan blok ""Acceptance — ATDD: User Registration Flow"".",Alur utama memenuhi kriteria penerimaan yang disepakati.,6,ATDD (kontrak API),Unit,TypeScript,apps/auth-service/src/tests/acceptance.test.ts,"1) As a talent, I can register and get talent role; 2) As a user, I must provide a valid Indonesian phone number; 3) As a user, my email must be a valid format; 4) As a user, my password must be at least 8 characters; 5) As an owner, I can register with email and phone; 6) As anyone, I cannot register as admin",test-unit,Lulus
TC-AS-028,Autentikasi & Sesi,Session cache,Cache sesi dan masa berlakunya,"1. Jalankan bun run test. 2. Buka apps/project-service/src/middleware/session-cache.test.ts. 3. Jalankan blok ""Session cache"".",Sesi tersimpan di cache selama masa berlakunya dan hilang setelah lewat.,8,TDD (unit),Unit,TypeScript,apps/project-service/src/middleware/session-cache.test.ts,1) ClearSessionCache removes all entries; 2) Deletes expired entry on access (lazy cleanup); 3) Overwrites existing session for same key; 4) Returns null for expired entries; 5) Returns null for uncached key; 6) Returns valid entry before TTL expires; 7) Stores and retrieves a session; 8) Stores multiple sessions independently,test-unit,Lulus
TC-AS-029,Autentikasi & Sesi,Session,Pembacaan sesi dan penolakan sesi tidak valid,"1. Jalankan bun run test. 2. Buka apps/project-service/src/middleware/session.test.ts. 3. Jalankan blok ""Session"".","Sesi valid diterima, sesi kedaluwarsa atau palsu ditolak.",10,TDD (unit),Unit,TypeScript,apps/project-service/src/middleware/session.test.ts,1) Returns user when present in context; 2) Returns user with optional phone field; 3) Throws AUTH_UNAUTHORIZED when no user in context; 4) Throws AUTH_UNAUTHORIZED when user is undefined; 5) Calls auth service when not cached; 6) Returns 401 when auth service returns no user; 7) Returns 401 when auth service returns non-ok; 8) Returns 401 when no cookie header; 9) Returns 503 when auth service is unreachable; 10) Returns cached session when available,test-unit,Lulus
TC-AS-030,Autentikasi & Sesi,Disintermediation.service,Deteksi ajakan transaksi di luar platform,"1. Jalankan bun run test. 2. Buka apps/project-service/src/services/disintermediation.service.test.ts. 3. Jalankan blok ""Disintermediation.service"".","Nomor telepon, email pribadi, dan tautan luar terdeteksi sebagai ajakan transaksi di luar platform.",9,TDD (unit),Unit service,TypeScript,apps/project-service/src/services/disintermediation.service.test.ts,1) Detects +62 prefixed Indonesian phone number; 2) Detects 0-prefixed Indonesian phone number; 3) Detects email and whatsapp link in same message; 4) Detects instagram handle; 5) Detects linkedin/github external social; 6) Detects telegram link; 7) Returns no matches for plain conversational message; 8) Returns false when no patterns match; 9) Returns true when any pattern matches,test-unit,Lulus
TC-AS-031,Autentikasi & Sesi,Verify phone otp loop,"OTP dikirim sekali saat halaman dibuka, tidak berulang tiap menit","1. Jalankan bun run test. 2. Buka apps/web/src/routes/verify-phone-otp-loop.test.ts. 3. Jalankan blok ""Verify phone otp loop"".","OTP dikirim sekali saat halaman dibuka. Pengiriman ulang hanya lewat tombol, tidak otomatis setiap hitungan mundur habis.",3,ATDD (kontrak API),Kontrak API,TypeScript,apps/web/src/routes/verify-phone-otp-loop.test.ts,1) Does not let the countdown reaching zero trigger a send; 2) Fires once on mount rather than whenever the callback changes; 3) Keeps an explicit resend,test-unit,Lulus
TC-AS-032,Autentikasi & Sesi,Schemas — RequestOtpSchema / VerifyPhoneSchema / SendChatMessageSchema,Schema validasi bersama,"1. Jalankan bun run test. 2. Buka packages/shared/src/schemas.test.ts. 3. Jalankan blok ""Schemas — RequestOtpSchema / VerifyPhoneSchema / SendChatMessageSchema"".",Schema bersama menolak input tidak valid sebelum sampai ke service.,7,TDD (unit),Unit,TypeScript,packages/shared/src/schemas.test.ts,1) Rejects invalid phone; 2) Validates phone; 3) Accepts 6-digit OTP; 4) Rejects non-numeric; 5) Rejects wrong length; 6) Validates chat message; 7) Rejects empty content,test-unit,Lulus
TC-CSA-001,Chat & Scoping AI,Test ai routes.py — TestCalculateCompleteness / TestChatEndpoint,"Endpoint AI untuk chat, BRD, PRD, dan parsing dokumen","1. Jalankan cd apps/ai-service && uv run pytest. 2. Buka apps/ai-service/tests/test_ai_routes.py. 3. Jalankan blok ""Test ai routes.py — TestCalculateCompleteness / TestChatEndpoint"".","Endpoint chat, BRD, PRD, dan parsing menjawab sesuai kontrak, termasuk saat input kurang lengkap.",11,ATDD (kontrak API),Kontrak API,Python,apps/ai-service/tests/test_ai_routes.py,1) Partial coverage; 2) All checks pass; 3) Comprehensive messages; 4) Minimal user message; 5) No messages; 6) No user messages; 7) Score never exceeds 100; 8) Chat gateway error; 9) Successful chat; 10) Requires messages; 11) Requires project id,test-python,Lulus
TC-CSA-002,Chat & Scoping AI,Test atdd acceptance.py,Kriteria penerimaan alur AI dari sisi pengguna,"1. Jalankan cd apps/ai-service && uv run pytest. 2. Buka apps/ai-service/tests/test_atdd_acceptance.py. 3. Jalankan blok ""Test atdd acceptance.py"".",Alur AI dari sisi pengguna memenuhi kriteria penerimaan yang disepakati.,12,ATDD (kontrak API),Unit,Python,apps/ai-service/tests/test_atdd_acceptance.py,1) Chat validates input; 2) Brd generation refuses when the model is unreachable; 3) Brd generation with conversation; 4) Brd validates input; 5) Health returns service metadata; 6) Readiness probe; 7) Readiness probe fails without llm key; 8) Health check available; 9) Spec parse validates input; 10) Spec parse with valid input; 11) Cv parse validates input; 12) Cv parse with valid input,test-python,Lulus
TC-CSA-003,Chat & Scoping AI,Test bdd endpoints.py,Skenario endpoint AI,"1. Jalankan cd apps/ai-service && uv run pytest. 2. Buka apps/ai-service/tests/test_bdd_endpoints.py. 3. Jalankan blok ""Test bdd endpoints.py"".",Skenario endpoint AI berjalan sesuai langkah yang ditulis.,3,TDD (unit),Unit,Python,apps/ai-service/tests/test_bdd_endpoints.py,1) Chat requires project id; 2) Brd requires conversation; 3) Health endpoint,test-python,Lulus
TC-CSA-004,Chat & Scoping AI,Test llm.py — TestDeadlines / TestErrorsAndClient / TestGenerateJson,"Pemilihan provider, timeout, dan penanganan gagal panggil model","1. Jalankan cd apps/ai-service && uv run pytest. 2. Buka apps/ai-service/tests/test_llm.py. 3. Jalankan blok ""Test llm.py — TestDeadlines / TestErrorsAndClient / TestGenerateJson"".","Provider dipilih sesuai konfigurasi, dan panggilan yang lewat batas waktu berhenti sebagai timeout, bukan menggantung.",12,TDD (unit),Unit,Python,apps/ai-service/tests/test_llm.py,1) The chat deadline reaches the transport; 2) Document generation gets the longer deadline; 3) A hung call raises llm timeout; 4) A stalled stream reports a timeout; 5) A timeout is still an llm error; 6) A transport timeout is not reported as a generic error; 7) Client cached per key; 8) Missing key raises llm error; 9) Sdk failure wrapped; 10) Empty dict on unparseable; 11) Parses and reports usage; 12) Reads json from markdown fence,test-python,Lulus
TC-CSA-005,Chat & Scoping AI,Test rag.py,Pencarian hybrid BM25 dan vector untuk konteks chatbot,"1. Jalankan cd apps/ai-service && uv run pytest. 2. Buka apps/ai-service/tests/test_rag.py. 3. Jalankan blok ""Test rag.py"".","Pencarian menggabungkan hasil BM25 dan vector, lalu mengembalikan potongan teratas.",5,TDD (unit),Unit,Python,apps/ai-service/tests/test_rag.py,1) No candidates returns empty; 2) Rrf ranks dual hits above single hits; 3) Top k cuts the tail; 4) Unsupported content field rejected; 5) Unsupported table rejected,test-python,Lulus
TC-CSA-006,Chat & Scoping AI,Test schemas.py,Validasi schema Pydantic,"1. Jalankan cd apps/ai-service && uv run pytest. 2. Buka apps/ai-service/tests/test_schemas.py. 3. Jalankan blok ""Test schemas.py"".",Schema Pydantic menolak input yang tidak sesuai dan menerima yang sesuai.,36,TDD (unit),Unit,Python,apps/ai-service/tests/test_schemas.py,1) Chat message assistant; 2) Chat message user; 3) Chat request custom model; 4) Chat request requires project id; 5) Chat request valid; 6) Chat response completeness score bounds; 7) Chat response completeness score ge zero; 8) Chat response completeness score le 100; 9) Chat response defaults; 10) Brd document all fields; 11) Brd document requires all fields; 12) Brd section; 13) Generate brd request minimal; 14) Generate brd request with budget; 15) Generate brd response; 16) Generate prd request defaults; 17) Generate prd response; 18) Prd document defaults; 19) Dependency spec defaults; 20) Health response defaults; 21) Parse spec data completeness bounds; 22) Parse spec data completeness ge zero; 23) Parse spec data completeness le 100; 24) Parse spec data defaults; 25) Parse spec response defaults; 26) Sprint plan; 27) Team composition defaults; 28) Work package spec defaults; 29) Matching request minimal; 30) Matching response; 31) Cv parse request requires fields; 32) Cv parse request valid; 33) Cv parse response; 34) Cv parsed data defaults; 35) Cv parsed data with skills; 36) Talent score,test-python,Lulus
